                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.9191,                 1.8532,                 1.2259,                0.73233,                0.91667,                  0.995,                0.87062,                0.67615,                 2.1077,                 1.1079,             0.00020425,             0.00020425,             0.00020425
                     36,                0.88583,                  1.688,                 1.1592,                0.79648,                0.91667,                  0.995,                 0.8955,                0.66049,                 2.0366,                 1.0953,             0.00019188,             0.00019188,             0.00019188
                     37,                0.87453,                 1.8326,                 1.1783,                0.83607,                0.91667,                  0.995,                0.90379,                0.67235,                 2.0389,                 1.1003,              0.0001795,              0.0001795,              0.0001795
                     38,                0.87782,                 1.6924,                 1.1461,                0.79254,                      1,                  0.995,                0.88721,                0.66718,                 2.0727,                 1.0942,             0.00016713,             0.00016713,             0.00016713
                     39,                 0.9368,                 1.8318,                 1.2226,                0.78429,                      1,                  0.995,                0.87062,                 0.6647,                 2.0676,                 1.0838,             0.00015475,             0.00015475,             0.00015475
                     40,                0.84092,                 1.6075,                 1.1512,                0.80313,                      1,                  0.995,                0.87062,                0.63585,                 2.0127,                 1.0629,             0.00014237,             0.00014237,             0.00014237
                     41,                 0.8367,                 2.0319,                 1.2208,                0.77158,                      1,                  0.995,                 0.8955,                 0.5945,                 1.9529,                 1.0233,                0.00013,                0.00013,                0.00013
                     42,                0.75524,                 2.0972,                 1.2058,                0.78193,                      1,                  0.995,                0.87892,                0.58901,                 1.9653,                 1.0171,             0.00011763,             0.00011763,             0.00011763
                     43,                0.69231,                 2.0008,                 1.1623,                0.78636,                      1,                  0.995,                0.87062,                0.64164,                 1.9247,                 1.0509,             0.00010525,             0.00010525,             0.00010525
                     44,                0.67035,                 1.8682,                 1.0673,                0.82795,                      1,                  0.995,                0.87062,                0.67292,                 1.8933,                 1.0755,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     45,                0.67468,                 1.9375,                 1.0878,                 0.8677,                      1,                  0.995,                0.86233,                0.66136,                  1.891,                 1.0667,               8.05e-05,               8.05e-05,               8.05e-05
                     46,                0.70588,                 1.9232,                 1.1379,                0.82423,                      1,                  0.995,                0.87062,                0.61573,                 1.8803,                 1.0287,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     47,                0.67615,                 1.9288,                 1.0989,                0.78307,                      1,                  0.995,                0.87892,                0.57855,                 1.8446,                 1.0011,              5.575e-05,              5.575e-05,              5.575e-05
                     48,                0.64745,                 1.9245,                 1.0855,                0.74947,                      1,                  0.995,                0.88721,                0.55221,                 1.8251,                0.98252,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     49,                0.63074,                 1.9317,                 1.0906,                0.72244,                      1,                  0.995,                0.88721,                 0.5275,                 1.8047,                 0.9703,                3.1e-05,                3.1e-05,                3.1e-05
                     50,                0.59336,                 1.9629,                 1.0939,                0.70944,                      1,                  0.995,                0.91208,                0.50587,                 1.7769,                0.96146,             1.8625e-05,             1.8625e-05,             1.8625e-05
